,PPZFA,PPZFA,PPZFA,PRICE,Rate,PPZFA,PRICE,PPZFA,PRICE
,mean,median,count,sum,mean,MA3,MA3,MA6,MA6
DATE,,,,,,,,,
2018-01-31,331.25,175.0,4,37333851,1.25,,,,
2018-02-28,125.5,125.5,2,4325000,1.25,,,,
2018-03-31,86.57,59.0,7,19166558,1.25,181.10666666666665,20275136.333333332,,
2018-04-30,244.33,69.0,9,135050000,1.75,152.13333333333333,52847186.0,,
2018-05-31,308.8,94.0,5,32478000,1.75,213.23333333333335,62231519.333333336,,
2018-06-30,154.38,101.0,8,132953035,1.88,235.8366666666667,100160345.0,208.47166666666666,60217740.666666664
2018-07-31,164.57,103.0,7,54385000,2.0,209.25,73272011.66666667,180.6916666666667,63059598.833333336
2018-08-31,237.33,144.5,6,231749954,2.0,185.42666666666665,139695996.33333334,199.33,100963757.83333333
2018-09-30,383.0,410.0,5,327900000,2.0,261.6333333333333,204678318.0,248.735,152419331.5
2018-10-31,206.0,197.0,5,51525000,2.25,275.4433333333333,203724984.66666666,242.34666666666666,138498498.16666666
2018-11-30,186.33,54.5,6,104293882,2.25,258.4433333333333,161239627.33333334,221.93499999999997,150467811.83333334
2018-12-31,307.67,188.0,9,215227590,2.31,233.33333333333334,123682157.33333333,247.48333333333335,164180237.66666666
2019-01-31,260.07,212.0,15,401101054,2.5,251.35666666666665,240207508.66666666,263.4,221966246.66666666
2019-02-28,295.15,272.0,13,339652000,2.5,287.62999999999994,318660214.6666667,273.0366666666667,239949921.0
2019-03-31,220.12,195.0,16,264191249,2.5,258.44666666666666,334981434.3333333,245.89,229331795.83333334
2019-04-30,218.62,170.0,21,207176164,2.5,244.63000000000002,270339804.3333333,247.99333333333334,255273656.5
2019-05-31,272.45,208.5,20,172436157,2.5,237.06333333333336,214601190.0,262.34666666666664,266630702.33333334
2019-06-30,348.84,317.0,19,360070000,2.5,279.96999999999997,246560773.66666666,269.2083333333333,290771104.0
2019-07-31,316.85,265.0,13,356015329,2.48,312.7133333333333,296173828.6666667,278.6716666666667,283256816.5
2019-08-31,216.0,194.0,13,195642500,2.25,293.8966666666667,303909276.3333333,265.47999999999996,259255233.16666666
2019-09-30,193.22,149.0,9,36267000,2.14,242.02333333333334,195974943.0,260.99666666666667,221267858.33333334
2019-10-31,182.36,166.0,11,109769850,1.98,197.19333333333336,113893116.66666667,254.95333333333335,205033472.66666666
2019-11-30,207.7,121.5,10,664207306,1.75,194.42666666666665,270081385.3333333,244.16166666666663,286995330.8333333
2019-12-31,276.42,231.0,19,571945276,1.75,222.16,448640810.6666667,232.09166666666667,322307876.8333333
2020-01-31,218.09,184.5,22,146763453,1.75,234.07000000000002,460972011.6666667,215.63166666666666,287432564.1666667
2020-02-29,275.53,201.0,19,332746482,1.75,256.68,350485070.3333333,225.55333333333337,310283227.8333333
2020-03-31,191.7,121.5,20,204062750,1.05,228.43999999999997,227857561.66666666,225.29999999999998,338249186.1666667
